time,temp_ref,temp_old_logger,temp_new_logger,Row,Anomaly_new_log_ref,Anomaly_old_log_ref,Anomaly_new_log_old_log
2023-05-18T20:50:00Z,11.9,12.013,11.923399710078584,541,0.02339971007858388,0.11299999999999955,-0.08960028992141567
2023-05-18T21:00:00Z,11.6,11.916,11.811245899137866,542,0.2112458991378663,0.3160000000000007,-0.10475410086213444
2023-05-18T21:10:00Z,11.8,11.916,11.768520637827116,543,-0.031479362172884606,0.11599999999999966,-0.14747936217288427
2023-05-18T21:20:00Z,11.6,11.722,11.613641565575648,544,0.013641565575648329,0.12199999999999989,-0.10835843442435156
2023-05-18T21:30:00Z,11.4,11.528,11.437399862668803,545,0.0373998626688028,0.1280000000000001,-0.09060013733119732
2023-05-18T21:40:00Z,11.3,11.528,11.370641641870757,546,0.07064164187075583,0.22799999999999976,-0.15735835812924392
2023-05-18T21:50:00Z,11.3,11.431,11.359960326543067,547,0.0599603265430666,0.13099999999999845,-0.07103967345693185
2023-05-18T22:00:00Z,11.3,11.431,11.338597695887692,548,0.038597695887691685,0.13099999999999845,-0.09240230411230677
2023-05-18T22:10:00Z,11.1,11.334,11.199740596627755,549,0.0997405966277558,0.23399999999999999,-0.13425940337224418
2023-05-18T22:20:00Z,11.1,11.334,11.231784542610818,550,0.13178454261081818,0.23399999999999999,-0.10221545738918181
2023-05-18T22:30:00Z,11.2,11.334,11.239795529106589,551,0.039795529106589456,0.13400000000000034,-0.09420447089341089
2023-05-18T22:40:00Z,11.2,11.334,11.159685664148933,552,-0.040314335851066474,0.13400000000000034,-0.17431433585106682
2023-05-18T22:50:00Z,11.3,11.334,11.181048294804306,553,-0.11895170519569476,0.03399999999999892,-0.15295170519569368
2023-05-18T23:00:00Z,11.2,11.236,11.159685664148933,554,-0.040314335851066474,0.036000000000001364,-0.07631433585106784
2023-05-18T23:10:00Z,11,11.236,11.106279087510494,555,0.10627908751049375,0.23600000000000065,-0.1297209124895069
2023-05-18T23:20:00Z,11.1,11.236,11.157015335317006,556,0.05701533531700598,0.136000000000001,-0.07898466468299503
2023-05-18T23:30:00Z,10.9,11.139,11.055542839703977,557,0.1555428397039762,0.238999999999999,-0.08345716029602279
2023-05-18T23:40:00Z,11,11.139,11.002136263065536,558,0.002136263065535715,0.13899999999999935,-0.13686373693446363
2023-05-18T23:50:00Z,10.8,11.041,10.815213244831009,559,0.015213244831008055,0.24099999999999966,-0.2257867551689916
2023-05-19T00:00:00Z,10.8,10.846,10.6923781185626,560,-0.10762188143740126,0.045999999999999375,-0.15362188143740063
2023-05-19T00:10:00Z,10.6,10.748,10.657663843747612,561,0.05766384374761202,0.1479999999999997,-0.09033615625238767
2023-05-19T00:20:00Z,10.6,10.748,10.577553978789958,562,-0.022446021210042133,0.1479999999999997,-0.17044602121004182
2023-05-19T00:30:00Z,10.5,10.651,10.476081483176928,563,-0.023918516823071556,0.1509999999999998,-0.17491851682307136
2023-05-19T00:40:00Z,10.5,10.553,10.385290302891583,564,-0.11470969710841672,0.053000000000000824,-0.16770969710841754
2023-05-19T00:50:00Z,10.7,10.553,10.385290302891583,565,-0.314709697108416,-0.14699999999999847,-0.16770969710841754
2023-05-19T01:00:00Z,10.2,10.455,10.31853208209354,566,0.11853208209354094,0.2550000000000008,-0.13646791790645985
2023-05-19T01:10:00Z,10.6,10.553,10.34523537041276,567,-0.254764629587239,-0.04699999999999882,-0.20776462958724018
2023-05-19T01:20:00Z,10.5,10.553,10.393301289387352,568,-0.10669871061264757,0.053000000000000824,-0.1596987106126484
2023-05-19T01:30:00Z,10.5,10.455,10.23308155947204,569,-0.26691844052795943,-0.04499999999999993,-0.2219184405279595
2023-05-19T01:40:00Z,10.4,10.259,10.13160906385901,570,-0.26839093614099063,-0.14100000000000001,-0.12739093614099062
2023-05-19T01:50:00Z,10.2,10.259,10.059510185397116,571,-0.14048981460288346,0.05900000000000105,-0.1994898146028845
2023-05-19T02:00:00Z,10.1,10.161,9.92065308613718,572,-0.17934691386281898,0.06099999999999994,-0.24034691386281892
2023-05-19T02:10:00Z,10,10.063,9.942015716792554,573,-0.0579842832074462,0.06300000000000061,-0.12098428320744681
2023-05-19T02:20:00Z,10.3,10.161,10.016784924086366,574,-0.2832150759136347,-0.13900000000000112,-0.14421507591363358
2023-05-19T02:30:00Z,10.1,10.063,9.819180590524148,575,-0.2808194094758516,-0.036999999999999034,-0.24381940947585257
2023-05-19T02:40:00Z,10.1,10.063,9.92866407263294,576,-0.1713359273670605,-0.036999999999999034,-0.13433592736706146
2023-05-19T02:50:00Z,10.1,10.063,9.92866407263294,577,-0.1713359273670605,-0.036999999999999034,-0.13433592736706146
2023-05-19T03:00:00Z,9.9,10.063,9.880598153658347,578,-0.019401846341652984,0.16300000000000026,-0.18240184634165324
2023-05-19T03:10:00Z,10,10.063,9.880598153658347,579,-0.11940184634165263,0.06300000000000061,-0.18240184634165324
2023-05-19T03:20:00Z,9.9,9.965,9.832532234683754,580,-0.06746776531624654,0.0649999999999995,-0.13246776531624604
2023-05-19T03:30:00Z,9.9,9.866,9.632257572289618,581,-0.2677424277103828,-0.034000000000000696,-0.23374242771038212
2023-05-19T03:40:00Z,9.7,9.768,9.632257572289618,582,-0.06774242771038175,0.06800000000000139,-0.13574242771038314
2023-05-19T03:50:00Z,9.7,9.669,9.530785076676588,583,-0.16921492332341082,-0.030999999999998806,-0.138214923323412
2023-05-19T04:00:00Z,9.7,9.768,9.616235599298086,584,-0.08376440070191293,0.06800000000000139,-0.15176440070191433
2023-05-19T04:10:00Z,9.7,9.768,9.616235599298086,585,-0.08376440070191293,0.06800000000000139,-0.15176440070191433
2023-05-19T04:20:00Z,9.7,9.866,9.661631189440754,586,-0.03836881055924479,0.16600000000000037,-0.20436881055924516
2023-05-19T04:30:00Z,9.7,9.866,9.688334477759971,587,-0.011665522240027926,0.16600000000000037,-0.1776655222400283
2023-05-19T04:40:00Z,9.7,9.866,9.715037766079192,588,0.015037766079192494,0.16600000000000037,-0.15096223392080788
2023-05-19T04:50:00Z,9.8,9.965,9.757763027389942,589,-0.0422369726100591,0.16499999999999915,-0.20723697261005825
2023-05-19T05:00:00Z,9.7,9.965,9.74174105439841,590,0.04174105439841114,0.26500000000000057,-0.22325894560158943
2023-05-19T05:10:00Z,9.7,9.965,9.739070725566492,591,0.039070725566492825,0.26500000000000057,-0.22592927443350774
2023-05-19T05:20:00Z,9.8,10.063,9.79247730220493,592,-0.007522697795071309,0.2629999999999999,-0.2705226977950712
2023-05-19T05:30:00Z,9.8,10.063,9.883268482490273,593,0.08326848249027208,0.2629999999999999,-0.17973151750972782
2023-05-19T05:40:00Z,9.9,10.161,9.904631113145648,594,0.0046311131456473476,0.26099999999999923,-0.2563688868543519
2023-05-19T05:50:00Z,9.9,10.357,10.155642023346305,595,0.25564202334630437,0.45699999999999896,-0.2013579766536946
2023-05-19T06:00:00Z,10,11.041,10.67635614557107,596,0.67635614557107,1.0410000000000004,-0.3646438544289303
2023-05-19T06:10:00Z,10.3,11.528,11.258487830930036,597,0.9584878309300358,1.2279999999999998,-0.269512169069964
2023-05-19T06:20:00Z,10.3,11.334,11.151674677653162,598,0.8516746776531612,1.033999999999999,-0.18232532234683774
2023-05-19T06:30:00Z,10.5,11.139,10.868619821469444,599,0.3686198214694443,0.6389999999999993,-0.27038017853055507
2023-05-19T06:40:00Z,10.9,11.236,11.028839551384756,600,0.12883955138475578,0.3360000000000003,-0.20716044861524452
2023-05-19T06:50:00Z,10.7,11.431,11.106279087510494,601,0.40627908751049446,0.7309999999999999,-0.3247209124895054
2023-05-19T07:00:00Z,10.9,11.431,11.132982375829712,602,0.23298237582971204,0.5309999999999988,-0.29801762417028677
2023-05-19T07:10:00Z,10.7,11.916,11.581597619592586,603,0.8815976195925863,1.216000000000001,-0.33440238040741477
2023-05-19T07:20:00Z,11.2,12.11,11.90203707942321,604,0.70203707942321,0.9100000000000001,-0.2079629205767901
2023-05-19T07:30:00Z,11.3,12.69,12.644388494697488,605,1.344388494697487,1.3899999999999988,-0.0456115053025119
2023-05-19T07:40:00Z,11.9,12.594,12.310597390707258,606,0.41059739070725776,0.6939999999999991,-0.2834026092927413
2023-05-19T07:50:00Z,11.4,12.497,12.321278706034946,607,0.9212787060349452,1.0969999999999995,-0.17572129396505431
2023-05-19T08:00:00Z,11.8,12.787,12.273212787060352,608,0.4732127870603513,0.9870000000000001,-0.5137872129396488
2023-05-19T08:10:00Z,12,12.98,12.647058823529411,609,0.6470588235294112,0.9800000000000004,-0.3329411764705892
2023-05-19T08:20:00Z,12,12.69,12.230487525749602,610,0.23048752574960218,0.6899999999999995,-0.4595124742503973
2023-05-19T08:30:00Z,12,13.173,12.7191577019913,611,0.7191577019912998,1.173,-0.45384229800870024
2023-05-19T08:40:00Z,12.1,14.038,13.94216830701152,612,1.8421683070115211,1.9380000000000006,-0.09583169298847949
2023-05-19T08:50:00Z,12.7,13.846,13.22652018005646,613,0.5265201800564601,1.1460000000000008,-0.6194798199435407
2023-05-19T09:00:00Z,13.2,13.365,12.938124666208893,614,-0.2618753337911066,0.16500000000000092,-0.42687533379110754
2023-05-19T09:10:00Z,12.2,13.076,12.671091783016706,615,0.47109178301670696,0.8760000000000012,-0.40490821698329427
2023-05-19T09:20:00Z,12.6,13.75,13.512245365072095,616,0.9122453650720956,1.1500000000000004,-0.23775463492790472
2023-05-19T09:30:00Z,13.4,13.942,13.453498130769816,617,0.05349813076981569,0.5419999999999998,-0.4885018692301841
2023-05-19T09:40:00Z,13.2,14.421,13.81666285191119,618,0.6166628519111903,1.221,-0.6043371480888098
2023-05-19T09:50:00Z,13.3,15.091,14.500267032883194,619,1.2002670328831933,1.7909999999999986,-0.5907329671168053
2023-05-19T10:00:00Z,13.7,14.804,14.324025329976353,620,0.6240253299763534,1.104000000000001,-0.4799746700236476
2023-05-19T10:10:00Z,13.5,14.996,14.214541847867553,621,0.7145418478675527,1.4960000000000004,-0.7814581521324477
2023-05-19T10:20:00Z,13.8,14.9,14.337376974135957,622,0.537376974135956,1.0999999999999996,-0.5626230258640437
2023-05-19T10:30:00Z,13.3,14.325,13.830014496070802,623,0.5300144960708018,1.0249999999999986,-0.4949855039291968
2023-05-19T10:40:00Z,13.2,14.134,13.808651865415428,624,0.6086518654154283,0.934000000000001,-0.3253481345845728
2023-05-19T10:50:00Z,13.1,13.846,13.44014648661021,625,0.34014648661021063,0.7460000000000004,-0.4058535133897898
2023-05-19T11:00:00Z,13.1,14.038,13.77393759060044,626,0.6739375906004401,0.9380000000000006,-0.2640624093995605
2023-05-19T11:10:00Z,13.3,14.325,13.950179293507285,627,0.6501792935072839,1.0249999999999986,-0.3748207064927147
2023-05-19T11:20:00Z,13.4,14.325,13.709849698634317,628,0.30984969863431644,0.9249999999999989,-0.6151503013656825
